asset_class,symbol,pnl
EQUITY,恒生指数,0.2560827604952615
EQUITY,中信风格指数:成长,0.169134498638737
EQUITY,申万小盘指数,0.1439043420964769
EQUITY,申万中盘指数,0.1412049029447587
EQUITY,中信风格指数:周期,0.1258102161192291
COMMO,期货收盘价(连续):CBOT小麦,0.1158057240711941
EQUITY,恒生地产分类指数,0.1043502794259334
COMMO,ICE布油,0.1027839110561891
COMMO,伦敦金现,0.0768011136249925
EQUITY,恒生医疗保健指数,0.0760991534406246
EQUITY,中证全指,0.074182200423582
EQUITY,中证红利,0.0739426489673973
EQUITY,标普500,0.0709549041032745
EQUITY,恒生综合行业指数-资讯科技业,0.0640869849026834
EQUITY,中信风格指数:金融,0.0568717953536451
EQUITY,申万大盘指数,0.0531144095470105
EQUITY,中信风格指数:消费,0.0418528682403352
COMMO,现货结算价:LME铜,0.034289699656217
COMMO,伦敦银现,0.0170375668411473
EQUITY,中信风格指数:稳定,0.0033185458682106
BOND,美国国债10年期,0.0005167170238508
EQUITY,万得科技大类指数,-0.0005106404417239
COMMO,期货收盘价(连续):CBOT大豆,-0.0153530593671722
COMMO,煤炭,-0.0223875998996978
